name,country,unit,date,value
deforestation,Ecuador,%,2000,-0.5114890207931247
deforestation,Ecuador,%,2010,-0.3208427264263109
deforestation,Ecuador,%,2015,-0.5013581211902789
deforestation,El Salvador,%,1990,-0.6259737369241042
deforestation,El Salvador,%,2000,-0.6677746779842109
deforestation,El Salvador,%,2010,-0.7155578170716194
deforestation,El Salvador,%,2015,-0.7421089086051651
deforestation,Equatorial Guinea,%,2000,-0.3196231810917655
deforestation,Equatorial Guinea,%,2010,-0.33017247167270264
deforestation,Equatorial Guinea,%,2015,-0.3357133104705609
deforestation,Estonia,%,2000,0.43369705523719343
deforestation,Estonia,%,2010,0.7277334954324022
deforestation,Estonia,%,2015,0.14374166153795315
deforestation,Ethiopia,%,2000,-0.39398764066168335
deforestation,Ethiopia,%,2010,-0.4101469224934685
deforestation,Ethiopia,%,2015,-0.41873404651963175
deforestation,Faroe Islands,%,1990,0
deforestation,Faroe Islands,%,2000,0
deforestation,Faroe Islands,%,2010,0
deforestation,Faroe Islands,%,2015,0
deforestation,Finland,%,1990,0.26070463851288184
deforestation,Finland,%,2000,-0.09070803951235072
deforestation,Finland,%,2010,0.15016635194676736
deforestation,French Guyana,%,1990,-0.056123076923076914
deforestation,French Guyana,%,2000,-0.05309773944728843
deforestation,French Guyana,%,2010,-0.041062651651838485
deforestation,French Guyana,%,2015,-0.042768079800498765
deforestation,Gabon,%,1990,-0.025713735006283246
deforestation,Gabon,%,2000,-0.021350210970464138
deforestation,Gabon,%,2010,-0.0502338113297541
deforestation,Gabon,%,2015,-0.050360322170411184
deforestation,Georgia,%,2000,0.22386437730928055
deforestation,Georgia,%,2010,0
deforestation,Georgia,%,2015,0
deforestation,Germany,%,1990,0.04778761061946902
deforestation,Germany,%,2000,0.048441078034172975
deforestation,Germany,%,2010,0.017530020159523183
deforestation,Germany,%,2015,0
deforestation,Greenland,%,1990,0
deforestation,Greenland,%,2000,0
deforestation,Greenland,%,2010,0
deforestation,Greenland,%,2015,0
deforestation,Guadeloupe,%,1990,-0.12300123001230012
deforestation,Guadeloupe,%,2000,-0.09685900096858999
deforestation,Guadeloupe,%,2010,0.18169112508735152
deforestation,Guadeloupe,%,2015,-0.08307947936859596
deforestation,Guatemala,%,1990,-1.1963523801556095
